Nombre,Empresa,Organismo,Sit.General,Tipo,Frac,N.Reg,Sustancia,Superf,Uds,Secc
EDWARD,"COMPAÑÍA ANDALUZA DE MINAS, S.A.",GRANADA,Otorgado,C.Exp.Directa,00,24602,FE,163.0,H,C
EFICACIA,INDUSTRIAS DEL CUARZO S.A.,SEGOVIA,Otorgado,C.Exp.Derivada,00,851,"CAN, ASI, CUA",256.4074,H,C
EGIDILLO,"MAFEROGA EMPRESARIAL, S.L.",BADAJOZ,Otorgado,Sec. A),00,785,ARN,18.96,H,A
EGLANTINE,"UMINSA, HULLERA OESTE DE SABERO S.A",LEON,Caducado,C.Exp.Derivada,00,7789,CBN,17.9955,H,D
EGUIBIL,CEMENTOS PORTLAND VALDERRIBAS S.A.,NAVARRA,Otorgado,C.Exp.Directa,00,3212,MAR,12.0,C,C
EI ORGALEYO,CANTERA EL ORGALEYO,ASTURIAS,Autorizado,Sec. A),00,90001,CAL,5.13,H,A
EILEEM,"UNION EXPLOSIVOS RIO TINTO, S.A.",MURCIA,Otorgado,C.Exp.Directa,00,18975,PB,12.0,H,C
EIRAS,,PONTEVEDRA,Caducado,P.Investigación,00,2931,GRT,13.0,C,C
EIRILLINA,"PIZARRAS DE BENUZA, S.L.",LEON,Trámite/autorización,Sec. A),90,285,PIZ,311.0181,C,A
EJIDO,"NORVENTO, S.L.",ALMERIA,Otorgado,P.Investigación,00,40628,GEO,239.0,C,D
EL  LOBO,"BELXICAL, S.L",ZARAGOZA,Trámite de concurso,P.Investigación,00,3053,CAL,5.0,C,C
EL  PINAR II,"DEL PINO Y MATEO, S.L.",SORIA,Trámite/autorización,Sec. A),30,369,GRV,3.6092,H,A
EL ABADEJERO,AYUNTAMIENTO DE VALDELINARES,TERUEL,Caducado,Sec. A),00,354,LOC,9.54,H,A
EL ABADEJERO,AYUNTAMIENTO DE VALDELINARES,TERUEL,Caducado,Sec. A),01,354,LOC,9.54,H,A
EL ABEJAR,"TALLER DE CANTERIA OLNASA, S.L.",ZARAGOZA,Autorizado,Sec. A),00,260,ARS,6.0,H,A
EL ABUNDANTE,"MINAS Y FERROCARRIL DE UTRILLAS, S.A",TERUEL,Otorgado,C.Exp.Directa,00,440,CBN,630.0,H,D
EL ACEBO,CALIZAS ALPER S.A.,ASTURIAS,Autorizado,Sec. A),00,80009,CAL,4.23,H,A
EL ACEBO,"HERMANOS TÁBARA, S.L.",ZAMORA,Trámite/otorgamiento,P.Investigación,00,1887,"ASI, TOC",2845.4431,C,C
EL ACEBUCHAL,"ANDALUZA DE CALES, S.A.",SEVILLA,Otorgado,C.Exp.Derivada,00,7696,CAL,4.0,C,C
EL ACIERTO,"EXPLOT. MINERAS JUSTINIANO MUÑOZ MORENO, S.L., LUIS SANTIAGO SANCHEZ PEREZ",TOLEDO,Otorgado,C.Exp.Directa,00,3425,CAN,5.0,C,C
EL ACUEDUCTO,"GRES EL ACUEDUCTO, S.A.",SEGOVIA,Trámite/decl-recurso,Sec. A),00,179,ARC,0.0,H,A
EL ACUEDUCTO I,"GRES EL ACUEDUCTO, S.A.",SEGOVIA,Otorgado,P.Investigación,00,1196,TOC,2514.0997,C,C
EL ACUEDUCTO II,"CANTERA AMPARO, S.L.",SEGOVIA,Otorgado,P.Investigación,00,1197,TOC,6139.6591,C,C
EL ACUEDUCTO III,"ARCILLAS Y FELDESPATOS RÍO PIRÓN, S.A.",SEGOVIA,Caducado,P.Investigación,00,1198,TOC,8632.7072,C,C
EL ACUEDUCTO III,"ARCILLAS Y FELDESPATOS RÍO PIRÓN, S.A.",SEGOVIA,Trámite/otorgamiento,C.Exp.Derivada,10,1198,"ARC, ASI",287.696,C,C
EL AGUIJON,"CANTERA CACEREÑA H.G.S., S.L.",TOLEDO,Trámite/otorgamiento,P.Investigación,00,4186,TOC,101.0,C,C
EL AGUILA,"BERKELEY MINERA ESPAÑA, S.L.",SALAMANCA,Otorgado,P.Investigación,00,6797,U,2878.8903,C,D
EL AGUILA,"TOLSA, S.A.",TOLEDO,Otorgado,C.Exp.Directa,00,3251,"BEN, SEP",894.0,H,C
EL ÁGUILA,"DIEGO RODRÍGUEZ VARGAS E HIJOS, S.L.",CADIZ,Trámite/decl-recurso,A.Min/Termal,00,5002,,0.0,H,B
EL AGUILÓN,"MINERÍA ORNAMENTAL, S.L.",ALMERIA,Trámite/decl-recurso,Sec. A),00,10036,CAL,3.45,H,A
EL ALABASTRE,"CANTERAS DE YESOS LILLO, S.L.",ALICANTE,Autorizado,Sec. A),00,820,YES,19.61,H,A
EL ALABASTRO,"JESUS ALIAGA, S.L.",ALICANTE,Autorizado,Sec. A),00,748,ARC,0.1,H,A
EL ALAMILLO,"FERNANDO LUIS RICO, S.L.",SEGOVIA,Trámite/autorización,Sec. A),00,258,"GRV, ARN",1.5348,H,A
EL ALAMILLO,CÉSAR MARTÍNEZ CONRADI,SEVILLA,Autorizado,Sec. A),00,335,ARN,17.3,H,A
EL ALAMO,"RECURSOS METÁLICOS, S.L.",SEVILLA,Trámite/otorgamiento,P.Investigación,02,7865,TOC,42.0,C,C
EL ÁLAMO,"MÁRMOLES SANDOVAL, S.A.",SEVILLA,Trámite/decl-recurso,Sec. A),00,174,GRT,0.0,H,A
EL ÁLAMO,"RECURSOS METÁLICOS, S.L.",SEVILLA,Trámite/otorgamiento,P.Investigación,01,7865,TOC,165.0,C,C
EL ALANDRE,"LORICA GOLD, S.L. UNIPERSONAL",BADAJOZ,Trámite/otorgamiento,P.Investigación,00,12819,TOC,8718.77,H,C
EL ALARICHE,PILAR CONSULEO HERNÁNDEZ SAYANS,TOLEDO,Cancelado,Sec. A),00,699,ARI,26.88,H,A
EL ALCAZAR,"TOLSA, S.A.",TOLEDO,Otorgado,C.Exp.Directa,00,3201,"BEN, SEP",299.0,H,C
EL ALCORNOQUE,"BARITA Y PLOMO, S.L. (BAYPLOM)",JAEN,Otorgado,C.Exp.Directa,00,12370,PB,8.0,H,C
EL ALCORNOQUE,ÁRIDOS ARIZAR S.L.,SEVILLA,Autorizado,Sec. A),00,396,"GRV, ARN",6.0,H,A
EL ALFEREZ,"ARIDOS LORENZO BELINCHON, S.L",TOLEDO,Autorizado,Sec. A),00,175,GRT,0.05,H,A
EL ALGAYAT,"ROMANENSE DE MARMOLES, S.L.",ALICANTE,Autorizado,Sec. A),00,706,MAM,0.1,H,A
EL ALIAGAR,"ANACARPA TERUEL, S.L.",ZARAGOZA,Cancelado,P.Investigación,00,3505,ARC,29.0,C,C
EL ALISO,"PROMOTORA INTERNACIONAL DE MINERÍA, S.A. (PIMSA)",HUELVA,Otorgado,P.Investigación,00,14404,"MN , BAI, SB",62.0,C,C
EL ALJEZAR,"YESOS MONRABAL, S.L.",VALENCIA,Otorgado,C.Exp.Derivada,00,2817,YES,2.0,C,C
EL ALJIBE,"BENITO ARNO E HIJOS, S.A.",TOLEDO,Otorgado,C.Exp.Directa,00,3965,MIL,4.0,C,C
EL ALJIBE (AMPLIACION),"BENITO ARNO E HIJOS, S.A.",TOLEDO,Autorizado,Sec. A),00,40,MIL,21.83,H,A
EL ALMENDRAL,ÁRIDOS Y HORMIGONES OJEDA S.A.,ALMERIA,Autorizado,Sec. A),00,596,"CAL, DOA",4.87,H,A
EL ALMENDRAL,JUAN PEDRO VALOR CACERES,BADAJOZ,Otorgado,Sec. A),00,531,GRT,10.24,H,A
EL ALMENDRO,MARMOLSPAIN SLU,ALICANTE,Autorizado,Sec. A),00,869,ARS,3.74,H,A
EL ALMENDRO,JOSÉ BREA TORRES,SEVILLA,Trámite/decl-recurso,Sec. A),00,237,ARN,0.0,H,A
EL ALMIREZ,"MARGUIMÓN, S.L.",SEVILLA,Trámite/otorgamiento,C.Exp.Directa,00,7690,CAL,3.0,C,C
EL ALMORQUI I,"BUENDICHO E HIJOS, S.L.",ALICANTE,Autorizado,Sec. A),00,815,ARS,0.1,H,A
EL ALTILLO,"HERMANOS TÁBARA, S.L.",ZAMORA,Trámite/autorización,Sec. A),00,240,GRV,5.7824,H,A
EL ALTO,"ARIDOS Y EXCAVACIONES CIRIA, S.L.",SORIA,Trámite/autorización,Sec. A),00,382,GRV,5.6711,H,A
EL AMÓN,"CONSTRUCCIONES Y OBRAS VALBUENA, S.A.",VALLADOLID,Trámite/autorización,Sec. A),00,308,GRV,8.4728,H,A
EL ANCHO DEL VALLE,"ÁNGEL , SANCHÓN BARRADO",SALAMANCA,Caducado,P.Investigación,00,6452,ARS,57.6993,C,C
EL ANCHO DEL VALLE-2,"ÁNGEL , SANCHÓN BARRADO",SALAMANCA,Trámite/autorización,Sec. A),00,268,ARS,1.4076,H,A
EL ANCHUELO,"CARLOS DÍEZ SEGOVIA, S.L.",SEGOVIA,Caducado,P.Investigación,00,1284,TOC,2833.7701,C,C
EL ANCHUELO- FRACCIÓN 1ª,"CARLOS DÍEZ SEGOVIA, S.L.",SEGOVIA,Trámite/otorgamiento,C.Exp.Derivada,10,1284,TOC,57.8665,C,C
EL ANCÓN,TRANSPORTES CASTELLO S.A.,BADAJOZ,Otorgado,Sec. A),00,674,ARN,27.01,H,A
EL ANGEL,"MINERAL SERVICE, S.L.",CUENCA,Otorgado,C.Exp.Directa,00,769,ACA,48.0,H,C
EL ÁNGEL,"TRABAJOS AGRÍCOLAS Y MOVIMIENTOS, S.A.",SALAMANCA,Trámite/autorización,Sec. A),00,324,ARC,5.5626,H,A
EL ANGEL DE LA GUARDA,ALTO BIERZO S.A,LEON,Otorgado,C.Exp.Derivada,00,3653,CBN,120.1215,H,D
EL ÁNGULO,"ARCEBANSA, S.A.",ZAMORA,Trámite/autorización,Sec. A),00,284,"GRV, ARN",2.9446,H,A
EL ÁNGULO,"ARCEBANSA, S.A.",ZAMORA,Trámite/otorgamiento,C.Exp.Directa,00,1864,"GRV, ARN",57.2423,C,C
EL ARCEDIANO,MATERIALES Y CONSTRUCCIÓN LOSADA S.A.,SEVILLA,Trámite/decl-recurso,Sec. A),00,339,CAL,0.0,H,A
EL ARCHADAL,"EXCAVACIONE Y OBRAS TERROBA HERMANOS SL, FCO JAVER FERNANDEZ MASCARUA",LA RIOJA,Caducado,Sec. A),00,315,"GRV, ARN",1.44,H,A
EL ARCO,CERAMICA ARCO DE CAPARRA S.A,BADAJOZ,Otorgado,C.Exp.Derivada,10,12459,"FEL, ARR, SQT",773.92,H,C
EL ARENAL,"CONSTRUCCIONES Y EXCAVACIONES SIERRA HERMANOS, S.L",BURGOS,Trámite/autorización,Sec. A),00,1110,"GRV, ARN",2.328,H,A
EL ARENAL,"CONSTRUCCIONES Y EXCAVACIONES SIERRA HERMANOS, S.L",BURGOS,Trámite/autorización,Sec. A),10,1110,"GRV, ARN",1.2699,H,A
EL ARENAL,JESÚS GUTIÉRREZ SÁNCHEZ,CACERES,Trámite/otorgamiento,Sec. A),00,606,ARN,1.72,H,A
EL ARENAL,"AZULIBER 1, S.L.",CASTELLON,Trámite de concurso,P.Investigación,00,2782,ARC,8.0,C,C
EL ARENAL,"FOVIAS, S.A.",CORDOBA,Autorizado,Sec. A),00,987,"ARC, GRV",10.0,H,A
EL ARENAL,"PROMOCIONES CORT AIR, S.L.",GRANADA,Trámite/decl-recurso,Sec. A),00,344,OPC,16.23,H,A
EL ARENAL,"PROMOCIONES CORT AIR, S.L.",GRANADA,Trámite/decl-recurso,Sec. A),00,349,OPC,9.62,H,A
EL ARENAL,SOCIEDAD COOPERATIVA EL CASTILLO,SEVILLA,Trámite/decl-recurso,Sec. A),00,203,,5.54,H,A
EL ARENAL,"GRAVERAS DEL DUERO, S.L.",ZAMORA,Trámite/otorgamiento,C.Exp.Derivada,10,1845,CUC,229.0467,C,C
EL ARENAL,"ARIDOS Y EXCAVACIONES DOMINGO PASCUAL, S.L.",ZARAGOZA,Cancelado,Sec. A),00,236,GRV,17.65,H,A
EL ARENAL II,"ESCAYOLAS ALVARO, S.L.",CADIZ,Autorizado,Sec. A),00,200,ARN,2.44,H,A
EL ARENAL II,"HOLCIM (ESPAÑA), S.A.",TOLEDO,Caducado,Sec. A),00,320,"GRV, ARN",0.05,H,A
EL ARENAL Y LAS HUCEMILLAS,"HORMIGONES ALHAURÍN S.A., MIGUEL MERINO ASENSIO",MALAGA,Autorizado,Sec. A),00,9,ARN,19.0,H,A
EL ARENOSO,FRANCISCO HORMIGO SÁNCHEZ,SEVILLA,Trámite/decl-recurso,Sec. A),00,113,ARS,0.0,H,A
EL ARGENTINO,EL ARGENTINO HIJOS S.L.,CIUDAD REAL,Autorizado,Sec. A),00,685,"GRV, ARN",65.0,H,A
EL ARRESTO,SOCIEDAD LA VERDAD,MURCIA,Otorgado,C.Exp.Directa,00,572,PB,6.0,H,C
EL ASENTADERO,"SOLEPCA (SOCIEDAD ANÓNIMA LABORAL), MÁRMOLES PRIETO MORENO Y RUIZ S.A.",CORDOBA,Otorgado,C.Exp.Directa,00,12591,CAL,5.0,C,C
EL ATAJUELO,"PREFABRICADOS MARIANA, S.L",CUENCA,Autorizado,Sec. A),00,96,"GRV, ARN",2.222,H,A
EL ATOCHAR,"HORMIGONES INIESTA 2000, S.C.",CUENCA,Autorizado,Sec. A),00,312,"GRV, ARN",8.0923,H,A
EL AYOZAR (AGREGACION),"AGOTRAN, S.A.",TOLEDO,Autorizado,Sec. A),00,482,"GRV, ARN",56.0535,H,A
EL AYOZAR AGREGACIÓN (2ª AMPLIACIÓN),"AGOTRAN, S.A.",TOLEDO,Autorizado,Sec. A),00,719,"GRV, ARN",18.81,H,A
EL AYOZAR AMPLIACIÓN,"AGOTRAN, S.A.",TOLEDO,Autorizado,Sec. A),00,329,"GRV, ARN",52.05,H,A
EL AYTA,"LALO SILES, S.L.",SEVILLA,Otorgado,P.Investigación,00,7875,"YES, CAL",20.0,C,C
EL AZAFOR,"ARENAS PALMER, S.L.",VALENCIA,Autorizado,Sec. A),00,1023,CAL,10.75,H,A
EL BADEN,"CONSTRCCIONES MORALES COMOR, S.L.",TENERIFE,Caducado,Sec. A),00,5,ARI,13.93,H,A
EL BADÉN,ARIDOS PAJUELO E HIJOS,BADAJOZ,Otorgado,Sec. A),00,887,ARN,7.7,H,A
EL BALADRAR,"ARIDOS MIJARES, S.L.",CASTELLON,Autorizado,Sec. A),00,490,ARN,8.14,H,A
EL BALDÍO,"TRANSPORTES LOS MELLIS, S.L.",CACERES,Otorgado,Sec. A),00,378,ARN,4.55,H,A
EL BAÑUELO,JUAN ÁLVAREZ RAMAS,CORDOBA,Autorizado,Sec. A),00,975,CAL,0.0,H,A
EL BARATÓN,KOLDERHAN CONSTRUCCIONES S.L.,ZAMORA,Trámite/decl-recurso,Sec. A),00,196,GRV,8.806,H,A
EL BARDAL I,"HORMIBUSA, S.L.",BURGOS,Trámite/autorización,Sec. A),00,1200,"GRV, ARN",117.059,H,A
EL BARDIAL,"GRANITOS DEL DUERO, S.L.",SALAMANCA,Otorgado,C.Exp.Derivada,10,6236,GRT,86.5921,C,C
EL BARRANCO,"MÁRMOLES ANTONIO SAEZ, S.L.",GRANADA,Otorgado,C.Exp.Directa,00,30262,,1.0,C,C
EL BARRANCO,"TERMINO DE YECLA, S.L.",MURCIA,Otorgado,C.Exp.Directa,00,21479,CAL,4.0,C,C
EL BARRANCÓN,"GÓMEZ DE LA ORDEN, S.L.",SORIA,Trámite/autorización,Sec. A),00,186,ARN,5.4543,H,A
EL BARRERO,RAFAEL CEPEDELLO ROSA,CORDOBA,Autorizado,Sec. A),00,1228,"GRV, ARN",6.24,H,A
EL BARRERO,"LADRILLERÍA DE GIBRALEÓN, S.A.",HUELVA,Trámite/decl-recurso,Sec. A),00,7,ARC,2.26,H,A
EL BARRERO,MANUEL ÁVALOS ANDRADE,HUELVA,Autorizado,Sec. A),00,9,ARC,2.0,H,A
EL BATÁN,AGUAS MINERALES PASCUAL S.L.,MALAGA,Trámite/decl-recurso,A.Min/Termal,00,35,,0.0,H,B
EL BELLOSO,"OHL S.A. (OBRASCON HUARTE LAIN, S.A.)",CACERES,Otorgado,Sec. A),00,619,ARN,8.77,H,A
EL BELLOTAR,"CANTERA EL BELLOTAR, S.A.",ZARAGOZA,Autorizado,Sec. A),00,34,CAL,23.0,H,A
EL BENDITO,"CIA DE MINERIA E INVESTIGACION, S.L",TERUEL,Trámite/otorgamiento,P.Investigación,00,6230,SAP,9.0,C,C
EL BENEFICIO,TRAVERTINOS DE ALMERÍA S.A.,ALMERIA,Otorgado,C.Exp.Directa,01,39607,MAM,1.0,C,C
EL BENEFICIO,"CANTERAS SAMBER, S.L.",ALMERIA,Otorgado,C.Exp.Directa,02,39607,,1.0,C,C
EL BERCIAL,GRANITOS GOMEZ CÁCERES E HIJOS S.L.,BADAJOZ,Trámite/otorgamiento,C.Exp.Directa,00,12679,GRT,179.09,H,C
EL BERCIAL,"EXC. Y MATERIALES DE CONSTRUCCION SANCHEZ,S.L",TOLEDO,Autorizado,Sec. A),00,717,ARN,4.42,H,A
EL BERCIAL,"EUFEMIO DE SEBASTIAN E HIJOS, S.A.",VALLADOLID,Trámite/autorización,Sec. A),00,287,GRV,8.8879,H,A
EL BERRO,"ARIDOS CAROT SELLES, S.L.",CASTELLON,Caducado,Sec. A),00,549,ARN,0.84,H,A
EL BERROCAL,"ARIDOS MARTINEZ GARCIA, S.L.",TOLEDO,Caducado,Sec. A),00,419,"GRV, ARN",9.0,H,A
EL BLANQUET,"AZULIBER 1, S.L.",CASTELLON,Caducado,P.Investigación,00,2731,TOC,1.0,C,C
EL BLANQUET,"AZULIBER 1, S.L.",CASTELLON,Cancelado,C.Exp.Derivada,01,2731,ARC,1.0,C,C
EL BLANQUET,"AZULIBER 1, S.L.",CASTELLON,Trámite/otorgamiento,C.Exp.Directa,00,2457,ARC,2.0,C,C
EL BLOQUE,"FRANCISCO MARTÍNEZ SENRA, S.A.",LA CORUÑA,Caducado,P.Investigación,00,6569,"ALC, GRT",9.0,C,C
EL BLOQUE,LORENTE Y PALLARES SL,MURCIA,Otorgado,C.Exp.Directa,00,18057,FE,4.0,H,C
EL BODONAL,"PIZARRAS VILLAR DEL REY S.L., NEGRO VILLAR, S.L.",BADAJOZ,Otorgado,C.Exp.Directa,00,11638,"PIZ, GRT",118.52,H,C
EL BODONAL B,"VILLAR DEL REY NATURAL STONES, S.L.",BADAJOZ,Otorgado,Escombrera,00,12,GRT,118.52,H,B
EL BOIRO,"PIEDRAS NATURALES DE MOSQUERUELA, S.L.",TERUEL,Caducado,Sec. A),00,398,COR,2.0,H,A
EL BOLAJE,AYUNTAMIENTO DE NOGUERUELAS,TERUEL,Autorizado,Sec. A),00,222,CAL,2.8,H,A
EL BOLLO,"HERMANOS RUIZ DORANTES, S.L.",SEVILLA,Otorgado,P.Investigación,00,7847,OPC,138.0,C,C
EL BOMBO Y LA ALAMEDA,"EIFFAGE INFRAESTRUCTURAS, S.A.",MADRID,Autorizado,Sec. A),00,332,GRV,37.4368,H,A
EL BOQUERON,"LADRILLERIA ROSO, S.A.",TOLEDO,Autorizado,Sec. A),00,49,ARC,15.36,H,A
EL BOQUERÓN,"CERAMICA EL MAZARRON, S.L.",TOLEDO,Autorizado,Sec. A),00,66,ARC,15.58,H,A
EL BOQUERON (AMPLIACION),"LADRILLERIA ROSO, S.A.",TOLEDO,Autorizado,Sec. A),00,214,ARC,2.38,H,A
EL BOQUERÓN AGREGACIÓN,"LADRILLERIA ROSO, S.A.",TOLEDO,Trámite/decl-recurso,Sec. A),00,636,ARC,17.74,H,A
EL BORREGUERO,JOSÉ FRANCISCO SUÁREZ MARTÍN,SEVILLA,Autorizado,A.Min/Termal,00,4,,0.0,H,B
EL BOSC GRAN,JOAN SISQUELLA ALAVEDRA,LERIDA,Otorgado,P.Investigación,00,10038,CAL,7.0,C,C
EL BOSE,"AGUA, MINERÍA Y MEDIO AMBIENTE, S.L.",CASTELLON,Otorgado,P.Investigación,00,2872,TOC,6.0,C,C
EL BOSQUE,SECTOR MINERO S.L,LEON,Otorgado,P.Investigación,00,14899,,198.2154,C,C
EL BOSQUE,EXPLOTACIONES MINERAS DEL BOSQUE SL,MURCIA,Cancelado,P.Investigación,00,22165,ROR,45.0,C,C
EL BOSQUE,"PORTMAN GOLF, S.A.",MURCIA,Otorgado,C.Exp.Directa,00,286,PB,6.0,H,C
EL BOSQUE,"LAFARGE ASLAND, S.A.",TOLEDO,Otorgado,P.Investigación,00,4157,CAL,294.0,C,C
EL BOTIJO,TRITURADOS ESPIN Y ESPIN S.L.,MURCIA,Autorizado,Sec. A),00,1109,ARI,26.94,H,A
EL BRAGADO,,ZAMORA,Trámite/decl-recurso,Sec. A),00,230,GRV,4.251,H,A
EL BRAVO,"CARBONES ARLANZA, S.A",LEON,Otorgado,C.Exp.Derivada,00,9593,CBN,228.3053,H,D
EL BREZALEJO,"TRANSPIAL, S.L.",SALAMANCA,Trámite/autorización,Sec. A),00,143,"GRV, ARN",11.077,H,A
EL BREZALEJO,"TRANSPIAL, S.L.",SALAMANCA,Trámite/otorgamiento,C.Exp.Directa,00,6854,TOC,116.0563,C,C
EL BRUJUELO,"JOSÉ LÓPEZ JIMÉNEZ, DIEGO LÓPEZ JIMÉNEZ",JAEN,Autorizado,A.Min/Termal,00,22,,0.0,H,B
EL BUBÓN Y LAGUNILLAS,AYUNTAMIENTO DE TRABAZOS,ZAMORA,Trámite/decl-recurso,A.Min/Termal,00,10,AMM,0.0,H,B
EL BUBÓN Y LAGUNILLAS,AYUNTAMIENTO DE TRABAZOS,ZAMORA,Trámite/decl-recurso,A.Min/Termal,10,10,AMM,0.0,H,B
EL BUEN SUCESO,"JULIO E. IZQUIERDO ÁLVAREZ, COMPAÑIA ARTESANAL DE CANTERIAS ARUCAS S.L.",LAS PALMAS,Autorizado,Sec. A),00,248,ARI,67.95,H,A
EL BUEN SUCESO,COMPAÑIA ARTESANAL DE CANTERIAS ARUCAS S.L.,LAS PALMAS,Trámite/otorgamiento,C.Exp.Directa,00,153,ROR,1.0,C,C
EL BUHO,FRANCISCO FLORIDO CHAMIZO,MALAGA,Otorgado,P.Investigación,00,6771,"CAL, DOA",21.0,C,C
EL BÚHO,"OMYA CLARIANA, S.L.U. (ANTES OMYA CLARIANACAL, S.L, ACTIVIDADES Y ORGANIZACIONES INMOBILIARIAS S.L.U.",ALMERIA,Autorizado,Sec. A),00,452,MAM,1.5,H,A
EL BUITRE,"OMYA CLARIANA, S.L.U. (ANTES OMYA CLARIANACAL, S.L, ACTIVIDADES Y ORGANIZACIONES INMOBILIARIAS S.L.U.",ALMERIA,Autorizado,Sec. A),00,492,MAM,1.82,H,A
EL BUITRE,"CEMENTOS CALATRAVA, S.A.",VALENCIA,Autorizado,Sec. A),00,917,MAR,3.5,H,A
EL BUITRE,"CEMENTOS TURIA, S.A.",VALENCIA,Caducado,P.Investigación,00,2460,TOC,13.0,C,C
"EL BURCO, DEMASIA A","ASTURIANA DE ZINC, S.A",CANTABRIA,Caducado,C.Exp.Directa,00,13237,ZN,14.07,H,C
EL BUSTE,"EXPROMIN, S.L.",ZARAGOZA,Trámite de concurso,P.Investigación,00,3091,ASI,14.0,C,C
EL CABAÑIL,"CABAÑIL, S.L.",TERUEL,Autorizado,Sec. A),00,317,COR,1.0,H,A
EL CABEZO,CONSTRUCCIONES SEVILLA NEVADO S.A,CACERES,Otorgado,Sec. A),00,529,ARN,4.87,H,A
EL CABEZO,Mª ENCARNACIÓN AMAT ESTELLER,TERUEL,Caducado,Sec. A),00,312,CAL,1.0,H,A
EL CABEZO,"MARIN DONAT, Mª DEL CARMEN AMALIA",VALENCIA,Autorizado,Sec. A),00,1079,GRT,1.6,H,A
EL CABEZO,GRACALSA,VALLADOLID,Trámite/decl-recurso,Sec. A),00,259,CAL,30.4441,H,A
EL CABEZO,"CANTERAS DE ECHAURI Y TIEBAS, S.A.",ZARAGOZA,Cancelado,C.Exp.Directa,00,3110,CAL,9.0,C,C
EL CABEZO (MURCIA),JOSE MARTINEZ NICOLAS,MURCIA,Autorizado,Sec. A),00,1110,GRV,1.33,H,A
EL CABEZO REDONDO,"VIALES Y OBRAS PUBLICAS, S.A.",TERUEL,Autorizado,Sec. A),00,376,CAL,2.32,H,A
EL CABEZUELO,"WBB ESPAÑA, S.A",TERUEL,Cancelado,P.Investigación,00,6312,ARC,5.0,C,C
EL CABO,NO PROCEDE/DESCONOCIDA,ASTURIAS,Caducado,P.Investigación,00,30388,AES,134.0,C,C
EL CABO,"VILLANUEVA-3, S.A.",TOLEDO,Autorizado,Sec. A),00,445,"GRV, ARN",40.23,H,A
EL CABRERO,"VIVENDIA GROUP CASSA, S.L.",SEVILLA,Trámite/decl-recurso,Sec. A),00,449,"ARN, CGL",22.2,H,A
EL CABRÍO,"ALQUILER DE MAQUINARIA DE OBRA PUBLICA ESPECIAL, S",ZAMORA,Trámite/autorización,Sec. A),00,564,"GRV, ARN",18.4426,H,A
EL CACHÓN,,LEON,Trámite/decl-recurso,Sec. A),00,744,"GRV, ARN",37.4824,H,A
EL CALAR,MARCAEL S.A.,ALMERIA,Autorizado,Sec. A),00,780,MAM,2.2,H,A
EL CALDERO,"JOSE FELIX RUIZ REQUENA, ARIDOS Y GRAVAS HERMANOS HUERTA GUIJARRO, S.L.",CUENCA,Autorizado,Sec. A),00,243,GRV,72.4,H,A
EL CALDERON,JESUS GIL GOMEZ,CUENCA,Autorizado,Sec. A),00,362,ARN,2.13,H,A
EL CALERÍN,ÁRIDOS EL CASTILLO S.A. (A.R.C.A.S.A.),CORDOBA,Autorizado,Sec. A),00,945,CAL,5.36,H,A
EL CALERO,"CEMENTOS TUDELA VEGUIN S.A., JESUS, GONZALEZ APARICIO",LEON,Otorgado,C.Exp.Derivada,00,13988,CAL,420.8315,C,C
EL CALIZO,"CARBONATOS ELENA, S.L.",MADRID,Trámite/otorgamiento,P.Investigación,10,3366,,9.0,H,C
EL CALVARIO,TRANSGRACAMP S.L.,CIUDAD REAL,Autorizado,Sec. A),00,769,POM,0.6,H,A
EL CALVARIO,,LA RIOJA,Cancelado,Sec. A),00,331,"GRV, ARN",1.09,H,A
"EL CALVARIO, FRACCIÓN 2ª","GRANITOS DEL DUERO, S.L.",SALAMANCA,Otorgado,P.Investigación,20,6236,GRT,346.1823,C,C
EL CAMARICO,"LOPEZ MARTINEZ, ANTONIO J",VALENCIA,Otorgado,P.Investigación,00,2895,ARC,6.0,C,C
EL CAMARICO,"LOPEZ MARTINEZ, ANTONIO J",VALENCIA,Trámite/otorgamiento,C.Exp.Derivada,10,2895,ARC,4.0,C,C
EL CAMELLO,"OBRAS Y CONSTRUCCIONES DUMEZ, S.A.",TENERIFE,Trámite/decl-recurso,Sec. A),00,500,BAS,1.5,H,A
EL CAMPANARIO,"EXTRAYMA, S.L.",SEVILLA,Trámite/decl-recurso,Sec. A),00,258,CAL,0.0,H,A
EL CAMPANARIO,"ARIVELARDE S.L., EXCAVACIONES Y CONSTRUCCIONES SAYMON, S.L.",SEVILLA,Autorizado,Sec. A),00,328,CAL,6.57,H,A
EL CAMPAR,"CALIZAS Y BALASTOS DE CIÑERA, S.A.",LEON,Caducado,P.Investigación,00,13926,,168.0855,C,C
EL CAMPILLO,"YESOS IBÉRICOS, S.A., ROCALICAL, S.L., MANUEL CAMPOS SALAS (ITM)",ALBACETE,Otorgado,C.Exp.Directa,00,1623,YES,4.0,C,C
EL CAMPILLO,RAYFRAN S.L.,CORDOBA,Autorizado,Sec. A),00,1261,"ARN, ZHR",67.5,H,A
EL CAMPILLO,HUPRECESA,GUADALAJARA,Trámite/decl-recurso,Sec. A),00,60,ARI,2.05,H,A
